county,latlon
Florence,
Taylor,
Jarrell,
Eden-Millersview,
De Berry-Deadwood,
Beckville,
Jean-Loving,
Newcastle,
Hearne,
Bremond,
Franklin,
Abilene,
Jim Ned,
Junction Southeast,
Glendale,
Apple Springs,
Rocksprings North,
Melvin,
Rochelle,
Harrold-Oklaunion,
Lockett,
Vernon,
Northeast Dallas,
Plains,
Archer City,
San Marcos,
Dripping Springs-Wimberley,
Bellville,
Wallis,
Sealy,
Industry,
Pecan Gap,
Center,
Cooper,
Timpson,
Cedar Creek-Red Rock,
Elgin,
Clarksville,
Talpa,
Novice,
Winnsboro,
Hargill,
McAllen-Pharr,
Southeast Hidalgo,
Seymour,
Alto,
Mount Selman,
New Summerfield,
Annona-Avery,
Manchester,
Detroit,
Presidio,
North Hopkins-Sulphur Bluff,
Arlington,
Northeast Tarrant,
Junction Northwest,
Loraine,
Shepherd-Evergreen,
Big Spring North,
Coahoma,
Talco,
Winfield,
Lamesa Southeast,
Lamesa,
Lamesa Northeast,
Cumby,
Sulphur Springs,
Corrigan,
Anderson-Bedias,
Shelbyville,
Tenaha-Joaquin,
Aiken-Neuville,
Bullard,
Lindale,
Tyler East,
Orchard-Kendleton,
Sugar Land,
Needville,
Garden City South,
Garden City North,
Livingston-Onalaska,
Odessa,
Jayton North,
Tarzan-Lenorah,
Wink,
Emory,
Albany,
Moran,
Richland Springs,
San Saba,
Lasara,
San Perlita,
Southwest Dallas,
Bettie,
Gladewater,
Crockett,
Grapeland,
Lovelady,
Grandfalls,
Gladewater,
Longview Northwest,
Kilgore,
Lakeport,
Rule,
Sagerton,
Anson,
Lueders,
Madisonville,
Sweetwater,
Wheeler,
Hillsboro,
Malone-Penelope,
Blum,
Decatur,
Bridgeport,
Alvord,
Center Point,
Big Lake,
Mentone,
Cayuga,
Montalba-Tennessee Colony,
Frankston,
Palestine,
Point Comfort,
Port Lavaca,
Johnson City,
Mount Pleasant,
Burkburnett,
Mount Vernon,
Wichita Falls,
Brady,
Merkel,
Post West,
Baird,
Jefferson,
Tahoka,
LaRue-Poynor,
Aspermont North,33.25|259.75
Moore,
Dilley,
Pearsall,
Mineola,
Canton,
Grand Saline,
Van,
West Brazos,
Cookville,
Seagraves,
Seminole,
Forney,
Terrell,
Giddings,
Lincoln-Dime Box,
West Tom Green,
Eagle Lake,
Columbus,
Weimar,
Midland,
Midland South,
Naples,
Daingerfield,
Gail South,
Gainesville Southeast,
Muenster,
Callisburg,
Gay Hill-Independence,
Caldwell,
Idalou,
Shallowater,
Aransas Pass-Ingleside,
Mathis,
Taft,
Sinton-Odem,
Groveton,
Trinity,
Throckmorton,
Woodson,
San Angelo,31.25|259.75
Athens,
Cedar Creek Lake,
Chandler-Brownsboro,
Haskell,
Rochester,
Weinert,
Charlotte,
Poteet,
Jourdanton,
Pleasanton,
Weatherford Southeast,
Driscoll,
Robstown,
Happy,
Tulia,
San Ygnacio,
Zapata,
Belton,
Killeen,
South Bell,
Alpine,
Marathon,
Kerrville,
Mont Belvieu,
Anahuac,
Dell City,
Big Sandy,
Ore City,
Gilmer,
Perryton East,
Perryton West,
Evant,
Gatesville,
Turnersville,
Rowena,
Miles,
Fort Hood,
Gorman,
Ranger,
Eastland,
Rising Star,
Spur,
Dickens,
Channing,
Hereford East,
Hereford West,
Ropesville,
Realitos-Concepcion,
Benavides,
Paris,
Briggs,
Normangee,
